,Time,Operation,Delay
1021,36,Departure,-18.0
1022,36,Departure,-2.0
1023,36,Departure,2.0
1024,36,Departure,42.0
1025,36,Departure,-5.0
1026,36,Departure,5.0
1027,36,Departure,-5.0
1028,36,Departure,14.0
1029,36,Departure,-1.0
1030,37,Departure,-3.0
1031,37,Departure,32.0
1032,37,Departure,-2.0
1033,37,Departure,-4.0
1034,37,Departure,1.0
1035,37,Departure,0.0
1036,37,Departure,0.0
1037,37,Departure,52.0
1038,37,Departure,5.0
1039,37,Departure,17.0
1040,37,Departure,-11.0
1041,37,Departure,4.0
1042,37,Departure,0.0
1043,38,Departure,77.0
1044,38,Departure,30.0
1045,38,Departure,1.0
1046,38,Departure,7.0
1047,38,Departure,4.0
1048,38,Departure,-10.0
1049,38,Departure,-5.0
1050,38,Departure,-4.0
1051,38,Departure,23.0
1052,38,Departure,4.0
1053,38,Departure,23.0
1054,38,Departure,0.0
1055,38,Departure,19.0
1056,39,Departure,13.0
1057,39,Departure,2.0
1058,39,Departure,-11.0
1059,39,Departure,14.0
1060,39,Departure,19.0
1061,39,Departure,26.0
1062,39,Departure,55.0
1063,39,Departure,-3.0
1064,39,Departure,0.0
1065,39,Departure,2.0
1066,39,Departure,-4.0
1067,39,Departure,-5.0
1068,39,Departure,2.0
1069,39,Departure,-8.0
1070,39,Departure,119.0
1071,39,Departure,-4.0
1072,39,Departure,7.0
1073,40,Departure,0.0
1074,40,Departure,0.0
1075,40,Departure,-12.0
1076,40,Departure,0.0
1077,40,Departure,-2.0
1078,40,Departure,-5.0
