,City,Operation,Time block,Delay
1232,Las Palmas,Departure,17,-3.0
1233,Manchester,Departure,17,32.0
1234,Paris,Departure,17,4.0
1235,Athens,Departure,17,35.0
1236,Bilbao,Departure,17,2.0
1237,Munich,Departure,17,2.0
1238,Tenerife,Departure,17,1.0
1239,Edinburgh,Departure,17,11.0
1240,Florence,Departure,17,-2.0
1241,Sevilla,Departure,17,5.0
1242,Zurich,Departure,18,0.0
1243,Alicante,Departure,18,23.0
1244,Palma Mallorca,Departure,18,7.0
1245,Prague,Departure,18,8.0
1246,Rome,Departure,18,-3.0
1247,Amsterdam,Departure,18,-1.0
1248,Brussels,Departure,18,10.0
1249,Milan,Departure,18,-9.0
1250,Paris,Departure,18,-2.0
1251,London,Departure,18,18.0
1252,Vienna,Departure,18,-5.0
1253,Madrid,Departure,19,-2.0
1254,Lisbon,Departure,19,-5.0
1255,Marrakech,Departure,19,55.0
1256,Venice,Departure,19,-4.0
1257,Vigo,Departure,19,30.0
1258,Paris,Departure,19,-7.0
1259,Naples,Departure,19,9.0
1260,Malaga,Departure,19,13.0
1261,Alicante,Departure,19,0.0
1262,Bilbao,Departure,19,26.0
1263,London,Departure,19,-6.0
1264,Menorca,Departure,19,-5.0
1265,Bordeaux,Departure,20,4.0
1266,La Coruna,Departure,20,-6.0
1267,Rennes,Departure,20,-7.0
1268,Tenerife,Departure,20,6.0
1269,Milan,Departure,20,-2.0
1270,Pisa,Departure,20,8.0
1271,Paris,Departure,20,9.0
1272,Palma Mallorca,Departure,20,0.0
1273,Granada,Departure,20,-7.0
1274,Ibiza,Departure,20,1.0
1275,Vienna,Departure,20,-2.0
1276,Porto,Departure,20,-6.0
1277,Nantes,Departure,20,-3.0
1278,Las Palmas,Departure,20,6.0
1279,Palma Mallorca,Departure,21,-8.0
1280,Santiago De Compostela,Departure,21,-11.0
1281,Sevilla,Departure,21,-2.0
1282,Malaga,Departure,21,4.0
1283,Madrid,Departure,21,-5.0
1284,Asturias,Departure,22,-2.0
1285,Algiers,Departure,22,-7.0
1286,Palma Mallorca,Departure,22,-8.0
1287,Granada,Arrival,0,-8.0
1288,Oran,Arrival,0,-19.0
1289,Porto,Arrival,0,19.0
1290,Algiers,Arrival,1,-13.0
1291,Madrid,Arrival,7,2.0
1292,Palma Mallorca,Arrival,7,-14.0
1293,Alicante,Arrival,8,-9.0
1294,Bilbao,Arrival,8,-8.0
1295,Asturias,Arrival,8,-11.0
1296,Malaga,Arrival,8,1.0
1297,Sevilla,Arrival,8,-4.0
1298,Palma Mallorca,Arrival,8,-3.0
1299,Santiago De Compostela,Arrival,8,-18.0
1300,La Coruna,Arrival,8,-15.0
1301,Paris,Arrival,8,-5.0
1302,Rome,Arrival,8,9.0
1303,Madrid,Arrival,9,7.0
1304,Amsterdam,Arrival,9,-24.0
1305,Palma Mallorca,Arrival,9,81.0
1306,Sevilla,Arrival,9,-4.0
1307,Algiers,Arrival,9,-10.0
1308,Ibiza,Arrival,9,2.0
1309,Menorca,Arrival,9,-3.0
1310,Alicante,Arrival,9,0.0
1311,Bilbao,Arrival,10,3.0
1312,Bologna,Arrival,10,-26.0
1313,Madrid,Arrival,10,23.0
1314,Asturias,Arrival,10,16.0
1315,Florence,Arrival,10,52.0
1316,Sevilla,Arrival,10,0.0
1317,Tel Aviv-Yafo,Arrival,10,20.0
1318,Malaga,Arrival,11,6.0
1319,Granada,Arrival,11,-7.0
1320,Tangier,Arrival,11,18.0
1321,Paris,Arrival,11,24.0
1322,Las Palmas,Arrival,11,5.0
1323,Tenerife,Arrival,11,14.0
1324,Vigo,Arrival,11,0.0
1325,Zurich,Arrival,11,1.0
1326,Menorca,Arrival,11,-6.0
1327,Venice,Arrival,11,-1.0
1328,Brussels,Arrival,11,-7.0
1329,Ibiza,Arrival,11,-7.0
1330,Lisbon,Arrival,11,35.0
1331,Munich,Arrival,12,-1.0
1332,Naples,Arrival,12,-1.0
1333,Paris,Arrival,12,-13.0
1334,Amsterdam,Arrival,12,4.0
1335,Paris,Arrival,12,-3.0
1336,Bari,Arrival,12,16.0
1337,London,Arrival,12,-11.0
1338,Madrid,Arrival,13,15.0
1339,Vienna,Arrival,13,49.0
1340,Alicante,Arrival,13,7.0
1341,Menorca,Arrival,13,-18.0
1342,Copenhagen,Arrival,13,2.0
1343,Granada,Arrival,13,-4.0
1344,Las Palmas,Arrival,14,-20.0
1345,Milan,Arrival,14,31.0
1346,Athens,Arrival,14,-3.0
1347,Lyon,Arrival,14,0.0
1348,Palma Mallorca,Arrival,14,6.0
1349,Bilbao,Arrival,14,1.0
1350,London,Arrival,14,-17.0
1351,Cagliari,Arrival,15,-9.0
1352,Paris,Arrival,15,-5.0
1353,Ibiza,Arrival,15,1.0
1354,Sevilla,Arrival,15,-9.0
1355,Tenerife,Arrival,15,15.0
1356,Santiago De Compostela,Arrival,15,-4.0
1357,"Basel, Switzerland / Mulhouse",Arrival,15,34.0
1358,Hanover,Arrival,15,21.0
1359,Malaga,Arrival,16,44.0
1360,Almeria,Arrival,16,5.0
1361,Milan,Arrival,16,-3.0
1362,Madrid,Arrival,16,2.0
1363,Malta,Arrival,16,2.0
1364,Ibiza,Arrival,16,8.0
1365,Palma Mallorca,Arrival,16,49.0
1366,Birmingham,Arrival,16,3.0
1367,Bilbao,Arrival,16,-5.0
1368,Lisbon,Arrival,16,1.0
1369,Valladolid,Arrival,16,-10.0
1370,Nuremberg,Arrival,16,38.0
1371,Jerez De La Frontera,Arrival,16,22.0
1372,Lanzarote,Arrival,17,121.0
1373,Palermo,Arrival,17,-1.0
1374,Sevilla,Arrival,17,2.0
1375,Hamburg,Arrival,17,116.0
1376,Brussels,Arrival,17,19.0
1377,Amsterdam,Arrival,17,-17.0
1378,Berlin,Arrival,17,12.0
1379,Catania,Arrival,17,16.0
1380,Budapest,Arrival,17,21.0
1381,Dusseldorf,Arrival,17,33.0
1382,London,Arrival,17,-15.0
1383,Turin,Arrival,18,-8.0
1384,Madrid,Arrival,18,-5.0
1385,Munich,Arrival,18,-9.0
1386,Paris,Arrival,18,63.0
1387,Dublin,Arrival,18,3.0
1388,Porto,Arrival,18,37.0
1389,Palma Mallorca,Arrival,18,-9.0
1390,Venice,Arrival,18,-18.0
1391,Bologna,Arrival,18,181.0
1392,Milan,Arrival,18,8.0
1393,Alicante,Arrival,18,2.0
1394,Bilbao,Arrival,18,-1.0
1395,Valencia,Arrival,19,-14.0
1396,Santander,Arrival,19,-11.0
1397,Malaga,Arrival,19,14.0
1398,Tenerife,Arrival,19,-3.0
1399,Rome,Arrival,19,6.0
1400,Menorca,Arrival,19,3.0
1401,Ibiza,Arrival,19,3.0
1402,Palma Mallorca,Arrival,19,0.0
1403,San Sebastian,Arrival,19,7.0
1404,Madrid,Arrival,19,2.0
